index,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Rawah,Neota,forest_cover_type
175,3020,40,14,443,26,1917,220,208,0,0,
176,2945,36,12,552,137,4624,219,213,1,0,
177,3018,112,5,560,99,5064,229,234,1,0,
178,2878,299,28,170,51,1165,133,217,0,0,
179,2800,54,12,295,13,1973,227,213,1,0,
180,2935,187,15,60,5,3724,221,250,1,0,
181,2732,64,25,240,38,1195,233,181,0,0,
182,2983,8,3,691,114,1332,216,232,0,0,
183,2869,92,19,120,23,1206,246,208,0,0,
184,2912,169,14,162,12,4756,230,245,1,0,
185,2721,190,19,67,18,732,217,251,0,0,
186,3171,15,15,335,51,2980,206,209,0,0,
187,2837,110,13,366,60,2012,242,225,1,0,
188,2870,356,10,30,6,2928,204,223,1,0,
189,3127,352,22,480,-13,2133,176,196,0,0,
190,2816,104,4,175,15,1239,226,234,0,0,
191,2931,12,21,134,35,1632,193,191,0,0,
192,3251,331,15,379,25,5475,183,220,1,0,
193,2975,93,15,192,25,4901,242,215,1,0,
194,2553,37,7,313,29,854,220,224,1,0,
195,2868,204,13,30,3,3340,212,252,1,0,
196,2932,195,13,127,13,5249,217,250,1,0,
197,3270,188,16,350,44,3296,219,250,0,0,
198,3279,291,25,450,173,418,144,227,0,1,
199,2629,74,33,30,23,2460,237,158,0,0,
200,3243,31,17,295,44,395,214,202,0,1,
201,3064,0,5,201,9,3433,213,231,1,0,
202,2999,62,20,488,174,510,232,194,1,0,
203,2512,315,6,108,4,882,205,235,0,0,
204,3128,260,16,395,20,2249,178,247,0,0,
205,3210,252,27,853,289,3267,149,246,0,0,
206,3276,54,13,481,97,4134,227,212,1,0,
207,3183,83,8,30,-3,2415,231,227,0,0,
208,2996,204,11,924,196,2644,214,250,0,0,
209,3057,313,10,192,3,3695,192,232,0,0,
210,2597,353,22,342,4,618,176,195,0,0,
211,3110,315,10,277,69,721,192,232,0,1,
212,2780,42,6,417,-14,924,221,227,1,0,
213,3160,48,7,0,0,3061,223,224,1,0,
214,3316,207,18,531,172,1252,205,254,0,1,
215,2888,35,18,268,78,268,216,199,1,0,
216,3174,299,23,306,68,242,148,223,0,1,
217,3228,68,11,0,0,2809,232,218,0,0,
218,3054,10,10,67,-2,3548,209,220,1,0,
219,2876,60,10,67,4,1697,228,219,0,0,
220,3017,85,8,85,1,3540,232,226,1,0,
221,3100,27,2,330,15,1355,218,234,0,1,
222,3196,149,16,153,34,1406,239,237,1,0,
223,3080,264,6,234,29,3108,204,243,0,0,
224,3188,119,25,402,152,3017,253,209,1,0,
225,3018,98,12,42,-6,2675,240,223,0,0,
226,2861,216,15,30,6,2720,203,253,0,0,
227,3377,169,11,693,171,1405,228,245,0,0,
228,2959,34,7,170,14,4518,219,225,1,0,
229,2972,98,16,379,53,4756,245,215,1,0,
230,3054,63,7,702,227,1321,227,225,1,0,
231,2932,39,7,228,19,4710,221,225,1,0,
232,2959,272,11,339,43,5356,190,243,1,0,
233,3013,10,21,693,144,2476,192,192,0,0,
234,2728,43,18,488,60,3215,221,199,0,0,
235,3055,73,6,362,86,5420,227,229,1,0,
236,3095,26,28,150,41,3548,195,168,0,0,
237,3002,216,21,255,94,2753,194,254,0,0,
238,3255,198,8,277,-3,3291,218,247,0,0,
239,2924,10,18,553,105,1501,198,201,0,0,
240,3191,315,1,342,16,4117,215,237,1,0,
241,3037,32,11,361,-6,2557,218,217,0,0,
242,3080,237,5,474,63,1591,211,244,0,0,
243,3008,80,14,85,12,1994,238,213,0,0,
244,2961,140,8,474,44,5160,232,238,1,0,
245,2722,37,18,134,36,1256,216,196,0,0,
246,2988,348,9,30,5,3305,203,225,0,0,
247,3325,311,20,1041,215,1470,164,222,0,0,
248,2943,95,20,60,17,2185,247,206,0,0,
249,2945,196,15,153,26,5316,215,251,1,0,
250,3073,70,18,470,21,1825,236,202,1,0,
251,3068,333,17,120,14,2442,180,216,0,0,
252,2589,356,15,42,6,1379,196,213,1,0,
253,2873,203,7,85,4,1565,217,247,0,0,
254,3375,0,8,218,12,666,209,226,0,1,
255,3128,344,17,319,73,3030,184,212,0,0,
256,3057,41,15,0,0,1567,221,205,0,0,
257,2788,245,11,366,56,108,198,248,0,0,
258,2786,69,11,42,7,1592,231,219,1,0,
259,2879,124,17,192,67,212,246,226,1,0,
260,2808,48,6,0,0,2240,223,227,1,0,
261,3141,81,3,212,7,4192,223,234,1,0,
262,2894,313,15,67,13,1830,178,227,0,0,
